year_film,year_ceremony,ceremony,category,name,film,winner
1949,1950,22,ACTOR,Broderick Crawford,All the King's Men,True
1949,1950,22,ACTOR,Kirk Douglas,Champion,False
1949,1950,22,ACTOR,Gregory Peck,Twelve O'Clock High,False
1949,1950,22,ACTOR,Richard Todd,The Hasty Heart,False
1949,1950,22,ACTOR,John Wayne,Sands of Iwo Jima,False
1950,1951,23,ACTOR,Louis Calhern,The Magnificent Yankee,False
1950,1951,23,ACTOR,José Ferrer,Cyrano de Bergerac,True
1950,1951,23,ACTOR,William Holden,Sunset Blvd.,False
1950,1951,23,ACTOR,James Stewart,Harvey,False
1950,1951,23,ACTOR,Spencer Tracy,Father of the Bride,False
1951,1952,24,ACTOR,Humphrey Bogart,The African Queen,True
1951,1952,24,ACTOR,Marlon Brando,A Streetcar Named Desire,False
1951,1952,24,ACTOR,Montgomery Clift,A Place in the Sun,False
1951,1952,24,ACTOR,Arthur Kennedy,Bright Victory,False
1951,1952,24,ACTOR,Fredric March,Death of a Salesman,False
1952,1953,25,ACTOR,Marlon Brando,Viva Zapata!,False
1952,1953,25,ACTOR,Gary Cooper,High Noon,True
1952,1953,25,ACTOR,Kirk Douglas,The Bad and the Beautiful,False
1952,1953,25,ACTOR,José Ferrer,Moulin Rouge,False
1952,1953,25,ACTOR,Alec Guinness,The Lavender Hill Mob,False
1953,1954,26,ACTOR,Marlon Brando,Julius Caesar,False
1953,1954,26,ACTOR,Richard Burton,The Robe,False
1953,1954,26,ACTOR,Montgomery Clift,From Here to Eternity,False
1953,1954,26,ACTOR,William Holden,Stalag 17,True
1953,1954,26,ACTOR,Burt Lancaster,From Here to Eternity,False
1954,1955,27,ACTOR,Humphrey Bogart,The Caine Mutiny,False
1954,1955,27,ACTOR,Marlon Brando,On the Waterfront,True
1954,1955,27,ACTOR,Bing Crosby,The Country Girl,False
1954,1955,27,ACTOR,James Mason,A Star Is Born,False
1954,1955,27,ACTOR,Dan O'Herlihy,Adventures of Robinson Crusoe,False
1955,1956,28,ACTOR,Ernest Borgnine,Marty,True
1955,1956,28,ACTOR,James Cagney,Love Me or Leave Me,False
1955,1956,28,ACTOR,James Dean,East of Eden,False
1955,1956,28,ACTOR,Frank Sinatra,The Man with the Golden Arm,False
1955,1956,28,ACTOR,Spencer Tracy,Bad Day at Black Rock,False
1956,1957,29,ACTOR,Yul Brynner,The King and I,True
1956,1957,29,ACTOR,James Dean,Giant,False
1956,1957,29,ACTOR,Kirk Douglas,Lust for Life,False
1956,1957,29,ACTOR,Rock Hudson,Giant,False
1956,1957,29,ACTOR,Sir Laurence Olivier,Richard III,False
1957,1958,30,ACTOR,Marlon Brando,Sayonara,False
1957,1958,30,ACTOR,Anthony Franciosa,A Hatful of Rain,False
1957,1958,30,ACTOR,Alec Guinness,The Bridge on the River Kwai,True
1957,1958,30,ACTOR,Charles Laughton,Witness for the Prosecution,False
1957,1958,30,ACTOR,Anthony Quinn,Wild Is the Wind,False
1958,1959,31,ACTOR,Tony Curtis,The Defiant Ones,False
1958,1959,31,ACTOR,Paul Newman,Cat on a Hot Tin Roof,False
1958,1959,31,ACTOR,David Niven,Separate Tables,True
1958,1959,31,ACTOR,Sidney Poitier,The Defiant Ones,False
1958,1959,31,ACTOR,Spencer Tracy,The Old Man and the Sea,False
1959,1960,32,ACTOR,Laurence Harvey,Room at the Top,False
1959,1960,32,ACTOR,Charlton Heston,Ben-Hur,True
1959,1960,32,ACTOR,Jack Lemmon,Some Like It Hot,False
1959,1960,32,ACTOR,Paul Muni,The Last Angry Man,False
1959,1960,32,ACTOR,James Stewart,Anatomy of a Murder,False
1960,1961,33,ACTOR,Trevor Howard,Sons and Lovers,False
1960,1961,33,ACTOR,Burt Lancaster,Elmer Gantry,True
1960,1961,33,ACTOR,Jack Lemmon,The Apartment,False
1960,1961,33,ACTOR,Laurence Olivier,The Entertainer,False
1960,1961,33,ACTOR,Spencer Tracy,Inherit the Wind,False
1961,1962,34,ACTOR,Charles Boyer,Fanny,False
1961,1962,34,ACTOR,Paul Newman,The Hustler,False
1961,1962,34,ACTOR,Maximilian Schell,Judgment at Nuremberg,True
1961,1962,34,ACTOR,Spencer Tracy,Judgment at Nuremberg,False
1961,1962,34,ACTOR,Stuart Whitman,The Mark,False
1962,1963,35,ACTOR,Burt Lancaster,Birdman of Alcatraz,False
1962,1963,35,ACTOR,Jack Lemmon,Days of Wine and Roses,False
1962,1963,35,ACTOR,Marcello Mastroianni,Divorce--Italian Style,False
1962,1963,35,ACTOR,Peter O'Toole,Lawrence of Arabia,False
1962,1963,35,ACTOR,Gregory Peck,To Kill a Mockingbird,True
1963,1964,36,ACTOR,Albert Finney,Tom Jones,False
1963,1964,36,ACTOR,Richard Harris,This Sporting Life,False
1963,1964,36,ACTOR,Rex Harrison,Cleopatra,False
1963,1964,36,ACTOR,Paul Newman,Hud,False
1963,1964,36,ACTOR,Sidney Poitier,Lilies of the Field,True
1964,1965,37,ACTOR,Richard Burton,Becket,False
1964,1965,37,ACTOR,Rex Harrison,My Fair Lady,True
1964,1965,37,ACTOR,Peter O'Toole,Becket,False
1964,1965,37,ACTOR,Anthony Quinn,Zorba the Greek,False
1964,1965,37,ACTOR,Peter Sellers,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,False
1965,1966,38,ACTOR,Richard Burton,The Spy Who Came In from the Cold,False
1965,1966,38,ACTOR,Lee Marvin,Cat Ballou,True
1965,1966,38,ACTOR,Laurence Olivier,Othello,False
1965,1966,38,ACTOR,Rod Steiger,The Pawnbroker,False
1965,1966,38,ACTOR,Oskar Werner,Ship of Fools,False
1966,1967,39,ACTOR,Alan Arkin,The Russians Are Coming The Russians Are Coming,False
1966,1967,39,ACTOR,Richard Burton,Who's Afraid of Virginia Woolf?,False
1966,1967,39,ACTOR,Michael Caine,Alfie,False
1966,1967,39,ACTOR,Steve McQueen,The Sand Pebbles,False
1966,1967,39,ACTOR,Paul Scofield,A Man for All Seasons,True
1967,1968,40,ACTOR,Warren Beatty,Bonnie and Clyde,False
1967,1968,40,ACTOR,Dustin Hoffman,The Graduate,False
1967,1968,40,ACTOR,Paul Newman,Cool Hand Luke,False
1967,1968,40,ACTOR,Rod Steiger,In the Heat of the Night,True
1967,1968,40,ACTOR,Spencer Tracy,Guess Who's Coming to Dinner,False
1968,1969,41,ACTOR,Alan Arkin,The Heart Is a Lonely Hunter,False
1968,1969,41,ACTOR,Alan Bates,The Fixer,False
1968,1969,41,ACTOR,Ron Moody,Oliver!,False
1968,1969,41,ACTOR,Peter O'Toole,The Lion in Winter,False
1968,1969,41,ACTOR,Cliff Robertson,Charly,True
1969,1970,42,ACTOR,Richard Burton,Anne of the Thousand Days,False
1969,1970,42,ACTOR,Dustin Hoffman,Midnight Cowboy,False
1969,1970,42,ACTOR,Peter O'Toole,"Goodbye, Mr. Chips",False
1969,1970,42,ACTOR,Jon Voight,Midnight Cowboy,False
1969,1970,42,ACTOR,John Wayne,True Grit,True
1970,1971,43,ACTOR,Melvyn Douglas,I Never Sang for My Father,False
1970,1971,43,ACTOR,James Earl Jones,The Great White Hope,False
1970,1971,43,ACTOR,Jack Nicholson,Five Easy Pieces,False
1970,1971,43,ACTOR,Ryan O'Neal,Love Story,False
1970,1971,43,ACTOR,George C. Scott,Patton,True
1971,1972,44,ACTOR,Peter Finch,Sunday Bloody Sunday,False
1971,1972,44,ACTOR,Gene Hackman,The French Connection,True
1971,1972,44,ACTOR,Walter Matthau,Kotch,False
1971,1972,44,ACTOR,George C. Scott,The Hospital,False
1971,1972,44,ACTOR,Topol,Fiddler on the Roof,False
1972,1973,45,ACTOR,Marlon Brando,The Godfather,True
1972,1973,45,ACTOR,Michael Caine,Sleuth,False
1972,1973,45,ACTOR,Laurence Olivier,Sleuth,False
1972,1973,45,ACTOR,Peter O'Toole,The Ruling Class,False
1972,1973,45,ACTOR,Paul Winfield,Sounder,False
1973,1974,46,ACTOR,Marlon Brando,Last Tango in Paris,False
1973,1974,46,ACTOR,Jack Lemmon,Save the Tiger,True
1973,1974,46,ACTOR,Jack Nicholson,The Last Detail,False
1973,1974,46,ACTOR,Al Pacino,Serpico,False
1973,1974,46,ACTOR,Robert Redford,The Sting,False
1974,1975,47,ACTOR,Art Carney,Harry and Tonto,True
1974,1975,47,ACTOR,Albert Finney,Murder on the Orient Express,False
1974,1975,47,ACTOR,Dustin Hoffman,Lenny,False
1974,1975,47,ACTOR,Jack Nicholson,Chinatown,False
1974,1975,47,ACTOR,Al Pacino,The Godfather Part II,False
1975,1976,48,ACTOR,Walter Matthau,The Sunshine Boys,False
1975,1976,48,ACTOR,Jack Nicholson,One Flew over the Cuckoo's Nest,True
1975,1976,48,ACTOR,Al Pacino,Dog Day Afternoon,False
1975,1976,48,ACTOR,Maximilian Schell,The Man in the Glass Booth,False
1975,1976,48,ACTOR,James Whitmore,"Give 'em Hell, Harry!",False
